epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,837.096,1.15789,0.87291,1.10656,0.80357,0.53846,0.60083,0.3288,1.66098,1.88817,1.54588,0.0065548,0.0065548,0.0065548
89,846.514,1.10896,0.86398,1.06709,0.94368,0.5641,0.68737,0.36846,1.62771,1.76535,1.46666,0.0065152,0.0065152,0.0065152
90,855.964,1.09392,0.88799,1.12851,0.91576,0.61538,0.72759,0.36708,1.69304,1.70281,1.48311,0.0064756,0.0064756,0.0064756
91,865.383,1.09447,0.89958,1.07855,0.94714,0.61538,0.70295,0.35521,1.75848,1.768,1.57697,0.006436,0.006436,0.006436
92,874.799,1.0971,0.79568,1.08273,0.89469,0.66667,0.73609,0.3886,1.68483,1.76616,1.49625,0.0063964,0.0063964,0.0063964
93,884.203,1.12433,0.87014,1.09502,0.8548,0.60402,0.71465,0.3663,1.67113,1.8286,1.50299,0.0063568,0.0063568,0.0063568
94,893.616,1.10585,0.84393,1.1219,0.8969,0.74359,0.81395,0.36362,1.90195,1.63331,1.52705,0.0063172,0.0063172,0.0063172
95,903.014,1.18753,0.87456,1.16892,0.98414,0.66667,0.83576,0.43673,1.70058,1.31177,1.40272,0.0062776,0.0062776,0.0062776
96,912.466,1.08869,0.85345,1.08106,0.98723,0.69231,0.84334,0.40611,1.79621,1.40587,1.46794,0.006238,0.006238,0.006238
97,921.897,1.12185,0.82398,1.06679,0.81159,0.84615,0.85015,0.45396,1.71194,1.32291,1.42025,0.0061984,0.0061984,0.0061984
98,931.331,1.08445,0.85629,1.0484,0.84884,0.76923,0.83706,0.44782,1.70292,1.25174,1.39262,0.0061588,0.0061588,0.0061588
99,940.73,1.11693,0.89396,1.11185,0.85234,0.76923,0.8327,0.42453,1.79359,1.31002,1.45502,0.0061192,0.0061192,0.0061192
100,950.145,1.08309,0.8752,1.07115,0.89203,0.71795,0.83761,0.45832,1.75228,1.25655,1.43267,0.0060796,0.0060796,0.0060796
101,959.575,1.02361,0.80399,1.06533,0.86976,0.76923,0.85255,0.45632,1.73616,1.24834,1.46128,0.00604,0.00604,0.00604
102,968.972,1.14656,0.84595,1.11415,0.94028,0.80766,0.90409,0.49198,1.60237,1.11386,1.39829,0.0060004,0.0060004,0.0060004
103,978.354,1.06429,0.73479,1.07277,0.90534,0.76923,0.84623,0.40865,1.75589,1.30432,1.49583,0.0059608,0.0059608,0.0059608
104,987.711,1.11585,0.81982,1.11295,0.85011,0.82051,0.87414,0.48265,1.62794,1.16076,1.41218,0.0059212,0.0059212,0.0059212
105,997.169,1.11316,0.86365,1.09649,0.77522,0.76923,0.80535,0.43496,1.7801,1.27069,1.49068,0.0058816,0.0058816,0.0058816
106,1006.63,1.021,0.81375,1.04081,0.90614,0.74264,0.80865,0.39612,1.87699,1.2851,1.55114,0.005842,0.005842,0.005842
